StoreId,StoreLatitude,StoreLongitude
9,26.936617,-82.337481
24,27.495804,-82.625467
33,27.712541,-82.37481
48,27.63923,-80.450489
57,28.052189,-82.699168
59,26.682483,-81.905681
66,27.133988,-80.206453
67,27.444416,-82.465301
734,28.928412,-82.018941
796,27.465655,-82.541254
